% Model:              sin_rho_nogr_iter1_epsilon3_revised.mph
% Version:            COMSOL 6.0.0.318
% Date:               Feb 27 2024, 02:42
% Dimension:          2
% Nodes:              43229
% Expressions:        1
% Description:        Surface
% cpl5x                   cpl5y                    Electric potential
3.855623197277661E-8      3.2108255005630516E-8    0
3.2108247343957575E-8     3.8556231972776605E-8    0
3.189975220645891E-8      3.8917173979582456E-8    0
3.1691257068960236E-8     3.8556231972776605E-8    0
3.1482761931461576E-8     3.8917173979582456E-8    0
3.783434795916492E-8      3.252524528062782E-8     0
3.819528996597077E-8      3.231675014312917E-8     0
3.783434795916492E-8      3.210825500563051E-8     0
3.819528996597076E-8      3.189975986813186E-8     0
3.189975220645891E-8      3.8195289965970754E-8    0
3.231674248145624E-8      3.8195289965970754E-8    0
3.210824734395758E-8      3.7834347959164904E-8    0
3.252523761895491E-8      3.7834347959164904E-8    0
3.7112463945553236E-8     3.294223555562516E-8     0
3.747340595235908E-8      3.273374041812649E-8     0
3.7112463945553236E-8     3.2525245280627836E-8    0
3.747340595235908E-8      3.231675014312917E-8     0
3.231674248145624E-8      3.747340595235906E-8     0
3.2733732756453574E-8     3.747340595235906E-8     0
3.252523761895491E-8      3.7112463945553216E-8    0
3.294222789395225E-8      3.7112463945553216E-8    0
3.3349486613413504E-8     3.63838495708648E-8      0
3.315072303145092E-8      3.6751521938747365E-8    0
3.294222789395226E-8      3.6390579931941515E-8    0
3.273373275645359E-8      3.6751521938747365E-8    0
3.35502890633858E-8       3.6013326753350505E-8    0
3.314303034392456E-8      3.6020057114427225E-8    0
3.334383279389685E-8      3.564953429691293E-8     0
3.3746084033883743E-8     3.565133734583475E-8     0
3.6390579931941554E-8     3.3359225830622475E-8    0
3.67515219387474E-8       3.3150730693123815E-8    0
3.639057993194156E-8      3.294223555562514E-8     0
3.67515219387474E-8       3.273374041812649E-8     0
3.6029637925135704E-8     3.356772096812114E-8     0
3.6029637925135704E-8     3.315073069312381E-8     0
3.566869591832985E-8      3.3359225830622475E-8    0
3.56904998301464E-8       3.378461977971165E-8     0
3.353916302683957E-8      3.530252965534136E-8     0
3.394141426682646E-8      3.5304332704263185E-8    0
3.373449325978229E-8      3.495552501376979E-8     0
3.407077086529314E-8      3.4988850874126754E-8    0
3.533515509289135E-8      3.3982318154023507E-8    0
3.5313351181074795E-8     3.355692420493433E-8     0
3.495800644381974E-8      3.3754622579246186E-8    0
3.4992808523048754E-8     3.419503839800301E-8     0
3.43048505278158E-8       3.460612292118214E-8     0
3.4615131593552694E-8     3.441276166232019E-8     0
3.420265258482762E-8      3.419006910788055E-8     0
3.458032951432368E-8      3.397234584356337E-8     0
3.3968572922304954E-8     3.4572797060825164E-8    0
3.92781159863883E-8       3.085728418063852E-8     0
3.9639057993194144E-8     3.064878904313986E-8     0
3.92781159863883E-8       3.044029390564119E-8     0
3.963905799319416E-8      3.023179876814253E-8     0
4.0E-8                    3.04402939056412E-8      0
4.000000000000001E-8      3.0023303630643866E-8    0
3.064878138146694E-8      3.963905799319415E-8     0
3.0857276518965604E-8     3.92781159863883E-8      0
3.044028624396828E-8      3.92781159863883E-8      0
3.0440286243968284E-8     4.0E-8                   0
3.023179110646962E-8      3.963905799319415E-8     0
3.002329596897096E-8      4.0E-8                   0
3.064878138146694E-8      3.8917173979582456E-8    0
3.106577165646426E-8      3.8917173979582456E-8    0
3.085727651896559E-8      3.8556231972776605E-8    0
3.127426679396291E-8      3.8556231972776605E-8    0
3.891717397958245E-8      3.1065779318137185E-8    0
3.891717397958245E-8      3.064878904313986E-8     0
3.85562319727766E-8       3.0857284180638525E-8    0
3.85562319727766E-8       3.1274274455635864E-8    0
3.783434795916491E-8      3.169126473063319E-8     0
3.8195289965970754E-8     3.148276959313454E-8     0
3.7834347959164904E-8     3.127427445563587E-8     0
3.8195289965970754E-8     3.10657793181372E-8      0
3.1691257068960256E-8     3.783434795916491E-8     0
3.1482761931461576E-8     3.819528996597076E-8     0
3.127426679396292E-8      3.783434795916492E-8     0
3.106577165646426E-8      3.819528996597076E-8     0
3.711246394555322E-8      3.2108255005630516E-8    0
3.7473405952359066E-8     3.189975986813186E-8     0
3.7112463945553216E-8     3.1691264730633204E-8    0
3.747340595235906E-8      3.148276959313454E-8     0
3.1482761931461576E-8     3.7473405952359066E-8    0
3.189975220645891E-8      3.747340595235906E-8     0
3.1691257068960236E-8     3.7112463945553216E-8    0
3.2108247343957575E-8     3.7112463945553216E-8    0
3.639057993194155E-8      3.2525245280627836E-8    0
3.6751521938747385E-8     3.231675014312918E-8     0
3.6390579931941535E-8     3.210825500563053E-8     0
3.675152193874738E-8      3.1899759868131863E-8    0
3.25252376189549E-8       3.6390579931941515E-8    0
3.231674248145623E-8      3.6751521938747365E-8    0
3.210824734395754E-8      3.6390579931941515E-8    0
3.189975220645889E-8      3.6751521938747365E-8    0
3.293453520642588E-8      3.565911510762137E-8     0
3.2733732756453574E-8     3.6029637925135664E-8    0
3.2525237618954895E-8     3.566869591832981E-8     0
3.2316742481456215E-8     3.6029637925135664E-8    0
3.311531005837596E-8      3.5291570261937234E-8    0
3.270601247090498E-8      3.530115107264567E-8     0
3.288678732285506E-8      3.4933606226961546E-8    0
3.3310640291318676E-8     3.494456562036567E-8     0
3.566869591832985E-8      3.294223555562517E-8     0
3.6029637925135704E-8     3.27337404181265E-8      0
3.566869591832985E-8      3.252524528062786E-8     0
3.602963792513569E-8      3.2316750143129196E-8    0
3.495240917426896E-8      3.334842906743568E-8     0
3.5307753911524016E-8     3.315073069312382E-8     0
3.494681190471818E-8      3.294223555562517E-8     0
3.5307753911524016E-8     3.2733740418126515E-8    0
3.351074930664626E-8      3.458696761732241E-8     0
3.3086896338182646E-8     3.457600822391829E-8     0
3.3287005353510223E-8     3.421841022087504E-8     0
3.374482896916892E-8      3.4204239664377796E-8    0
3.4607854887378405E-8     3.354420791866697E-8     0
3.4230177957882345E-8     3.376193118298415E-8     0
3.425770333093707E-8      3.333379325808776E-8     0
3.4602257617827625E-8     3.313801440685646E-8     0
3.395697675039416E-8      3.345492187623266E-8     0
3.3929451377339434E-8     3.388305980112906E-8     0
3.365625016985125E-8      3.357605049437757E-8     0
3.347162776168074E-8      3.38972303576263E-8      0
3.92781159863883E-8       3.0023303630643866E-8    0
3.963905799319416E-8      2.9814808493145207E-8    0
3.92781159863883E-8       2.9606313355646547E-8    0
3.963905799319416E-8      2.9397818218147887E-8    0
4.000000000000001E-8      2.9606313355646547E-8    0
4.000000000000001E-8      2.918932308064923E-8     0
2.981480083147229E-8      3.963905799319415E-8     0
3.002329596897095E-8      3.92781159863883E-8      0
2.960630569397363E-8      3.92781159863883E-8      0
2.9606305693973632E-8     4.0E-8                   0
2.9397810556474966E-8     3.963905799319415E-8     0
2.9189315418976306E-8     4.0E-8                   0
3.8917173979582456E-8     3.023179876814252E-8     0
3.8917173979582456E-8     2.98148084931452E-8      0
3.8556231972776605E-8     3.002330363064385E-8     0
3.85562319727766E-8       3.0440293905641186E-8    0
2.981480083147229E-8      3.8917173979582456E-8    0
3.023179110646962E-8      3.8917173979582456E-8    0
3.002329596897096E-8      3.8556231972776605E-8    0
3.044028624396827E-8      3.8556231972776605E-8    0
3.0857276518965604E-8     3.783434795916492E-8     0
3.064878138146694E-8      3.819528996597076E-8     0
3.044028624396828E-8      3.783434795916492E-8     0
3.023179110646962E-8      3.819528996597076E-8     0
3.7834347959164904E-8     3.0857284180638525E-8    0
3.8195289965970754E-8     3.064878904313985E-8     0
3.7834347959164904E-8     3.044029390564118E-8     0
3.8195289965970754E-8     3.023179876814252E-8     0
3.711246394555321E-8      3.1274274455635864E-8    0
3.747340595235905E-8      3.10657793181372E-8      0
3.71124639455532E-8       3.0857284180638525E-8    0
3.747340595235905E-8      3.064878904313985E-8     0
3.064878138146694E-8      3.747340595235908E-8     0
3.106577165646426E-8      3.747340595235908E-8     0
3.085727651896559E-8      3.7112463945553236E-8    0
3.127426679396291E-8      3.711246394555322E-8     0
3.675152193874736E-8      3.10657793181372E-8      0
3.6751521938747365E-8     3.148276959313454E-8     0
3.6390579931941515E-8     3.127427445563587E-8     0
3.639057993194152E-8      3.16912647306332E-8      0
3.1482761931461576E-8     3.675152193874738E-8     0
3.106577165646425E-8      3.6751521938747385E-8    0
3.127426679396291E-8      3.6390579931941535E-8    0
3.169125706896023E-8      3.639057993194152E-8     0
3.5668695918329847E-8     3.210825500563054E-8     0
3.6029637925135684E-8     3.1899759868131877E-8    0
3.5668695918329833E-8     3.1691264730633224E-8    0
3.602963792513568E-8      3.1482769593134544E-8    0
3.210824734395755E-8      3.566869591832982E-8     0
3.189975220645887E-8      3.602963792513568E-8     0
3.16912570689602E-8       3.5668695918329833E-8    0
3.1482761931461556E-8     3.6029637925135684E-8    0
3.24975173334063E-8       3.494020906583984E-8     0
3.2316742481456215E-8     3.530775391152397E-8     0
3.2108247343957536E-8     3.494681190471813E-8     0
3.189975220645887E-8      3.530775391152398E-8     0
3.288544399987328E-8      3.4202457335997794E-8    0
3.26853349845457E-8       3.4560055339041045E-8    0
3.248388264623634E-8      3.418650445112055E-8     0
3.2296064995096934E-8     3.456665817791934E-8     0
3.4946811904718165E-8     3.252524528062787E-8     0
3.5307753911524E-8        3.2316750143129216E-8    0
3.494681190471815E-8      3.210825500563057E-8     0
3.530775391152399E-8      3.1899759868131896E-8    0
3.42478164497706E-8       3.2930589625032306E-8    0
3.4592370736661155E-8     3.2734810773801014E-8    0
3.423792956860414E-8      3.252738599197685E-8     0
3.459237073666114E-8      3.231782049880371E-8     0
3.328025408800854E-8      3.348558161646975E-8     0
3.309563167983803E-8      3.3806761479718486E-8    0
3.2904258006165835E-8     3.339511273856193E-8     0
3.269407032620109E-8      3.379080859484124E-8     0
3.32527135797552E-8       3.314754572875821E-8     0
3.3628709661597906E-8     3.323801460666602E-8     0
3.3601169153344564E-8     3.289997871895448E-8     0
3.392943624214082E-8      3.311688598852112E-8     0
3.391954936097435E-8      3.271368235546567E-8     0
3.92781159863883E-8       2.9189323080649224E-8    0
3.963905799319416E-8      2.8980827943150568E-8    0
3.92781159863883E-8       2.87723328056519E-8      0
3.963905799319415E-8      2.8563837668153242E-8    0
4.0E-8                    2.8772332805651905E-8    0
